"nbcar","nb_rec","men","ind_srf","ind_age6","Revenue_personne","lon","lat"
1,350.5,163,8220360,259,23453.2382310984,5.38789412768071,43.2361112650487
2,189.5,83,4610587,134,12165.1372031662,5.39034611211815,43.2362219759058
2,266,114,6198434,179,11651.1917293233,5.39279810481406,43.2363326279642
1,223,88,5733429,162,25710.4439461883,5.39525010576413,43.2364432212232
2,159,63,3963622,111,12464.2201257862,5.39770211496402,43.2365537556828
1,71,35,1748699,57,24629.5633802817,5.40015413240943,43.2366642313425
1,84,29,2202449,55,26219.630952381,5.40260615809601,43.236774648202
1,204.5,68,5139416,125,25131.6185819071,5.40505819201945,43.236885006261
1,135,54,3257245,98,24127.7407407407,5.40751023417544,43.2369953055193
2,167.5,59,3790171,113,11313.9432835821,5.40996228455963,43.2371055459764
2,167.5,59,3790171,113,11313.9432835821,5.41241434316772,43.2372157276321
1,287,137,5068044,207,17658.6898954704,5.41486640999537,43.237325850486
5,26,12,548450,18,4218.84615384615,5.43693538061121,43.2383143100402
3,245,115,5721874,189,7784.86258503401,5.35832855594546,43.2365794379853
3,245,115,5721874,189,7784.86258503401,5.36078051566798,43.236690858365
1,174,78,3987426,137,22916.2413793103,5.36323248370189,43.2368022199475
2,49,18,1046037,30,10673.8469387755,5.36568446004286,43.2369135227325
2,354.5,140,8481921,246,11963.2172073343,5.36813644468657,43.2370247667198
2,354.5,140,8481921,246,11963.2172073343,5.3705884376287,43.2371359519089
2,259,135,6146208,205,11865.2664092664,5.37549244839093,43.2373581458916
2,189,82,4453348,137,11781.3439153439,5.38039649229496,43.2375801046781
1,122.5,48,2709804,80,22120.8489795918,5.38284852666435,43.237690995872
2,265,114,6094486,186,11499.0301886792,5.38530056930622,43.2378018282658
2,265,114,6094486,186,11499.0301886792,5.38775262021625,43.2379126018593
2,189.5,83,4610587,134,12165.1372031662,5.39020467939012,43.2380233166522
2,266,114,6198434,179,11651.1917293233,5.3926567468235,43.2381339726441
2,59,19,1371722,36,11624.7627118644,5.39510882251208,43.2382445698347
2,159,63,3963622,111,12464.2201257862,5.39756090645152,43.2383551082237
1,86.5,28,2225391,54,25727.063583815,5.40246509906572,43.2385760085956
1,166.5,79,4281198,124,25712.9009009009,5.40491720773182,43.2386863705779
1,626.5,268,11493759,431,18345.9840383081,5.4073693246315,43.2387966737572
1,46,17,1254062,34,27262.2173913043,5.40982144976043,43.2389069181335
1,88,30,2359763,60,26815.4886363636,5.41227358311428,43.2390171037062
1,42,15,1077706,28,25659.6666666667,5.41472572468874,43.239127230475
5,26,12,548450,18,4218.84615384615,5.44169982333047,43.2403347437898
3,245,115,5721874,189,7784.86258503401,5.36063817452354,43.238492148767
1,264,124,5199677,215,19695.7462121212,5.36309021728847,43.2386035143083
1,59,33,1160104,47,19662.7796610169,5.36554226836152,43.23871482105
2,147.5,63,3764523,100,12761.0949152542,5.36799432773835,43.2388260689919
2,147.5,63,3764523,100,12761.0949152542,5.37044639541464,43.2389372581336
1,394.5,183,9262464,294,23478.9961977186,5.37289847138607,43.2390483884749
2,259,135,6146208,205,11865.2664092664,5.37535055564832,43.2391594600153
1,47,17,1166794,29,24825.4042553192,5.37780264819707,43.2392704727546
1,112,76,2786506,97,24879.5178571429,5.38025474902799,43.2393814266924
1,538,279,13004791,432,24172.4739776952,5.38270685813675,43.2394923218285
1,119,56,2391160,83,20093.781512605,5.38515897551904,43.2396031581624
1,317.5,148,6501479,231,20477.0992125984,5.38761110117053,43.239713935694
2,287.5,123,6647491,199,11560.8539130435,5.3900632350869,43.2398246544229
2,287.5,123,6647491,199,11560.8539130435,5.39251537726383,43.2399353143487
2,59,19,1371722,36,11624.7627118644,5.39496752769698,43.2400459154711
1,218,97,4762381,160,21845.7844036697,5.39741968638204,43.2401564577899
1,184,78,4450714,141,24188.6630434783,5.39987185331469,43.2402669413047
1,150,62,3693030,112,24620.2,5.40232402849059,43.2403773660152
1,147,68,3284869,108,22346.0476190476,5.40477621190542,43.240487731921
1,192,66,4660898,116,24275.5104166667,5.40722840355487,43.2405980390219
1,649.5,299,13350823,467,20555.5396458814,5.4096806034346,43.2407082873175
1,140,55,3324160,98,23744,5.41213281154029,43.2408184768076
1,52,19,1308364,36,25160.8461538462,5.41458502786761,43.2409286074917
1,567,258,12911760,409,22772.0634920635,5.42194172613615,43.2412586467056
3,26,13,577866,20,7408.53846153846,5.42684623267739,43.241478378813
1,94,36,2241991,66,23850.9680851064,5.3629479392318,43.2404048056902
1,103,39,2576366,73,25013.2621359223,5.36540006504299,43.240516116389
1,457.5,243,9181843,348,20069.6021857924,5.367852199159,43.2406273682858
1,195,74,4691527,131,24059.1128205128,5.37030434157553,43.2407385613804
1,149.5,62,3744552,110,25047.1705685619,5.37275649228824,43.2408496956725
